000670,-0.2177
002005,-0.3294
002049,0.5734
002079,0.1299
002129,0.2339
002156,0.1100
002180,0.8986
002185,0.1829
002218,0.0700
002371,0.5102
002449,0.7204
002506,0.0090
002610,0.0280
002623,0.5000
002654,-1.2946
002745,0.6000
300029,-0.6794
300046,0.4025
300053,0.1390
300077,-2.2600
300080,-0.5857
300102,0.2600
300111,-1.0200
300118,0.2600
300139,0.0200
300183,0.3814
300223,0.0674
300241,0.1640
300301,-0.1985
300303,0.1300
300316,0.4600
300323,0.2400
300327,0.7307
300346,0.1876
300373,0.4000
300389,0.7574
300393,0.5300
300456,0.3401
300458,0.3600
300613,1.2300
300623,0.9300
300661,1.3088
300671,0.3800
300672,0.5000
300708,0.0800
300724,1.1500
600151,0.0269
600171,0.1500
600360,0.1400
600401,-0.7900
600460,0.1300
600537,0.0600
600584,-0.6500
600667,0.2700
600703,0.6900
601012,0.9300
601908,0.2300
603005,0.3100
603068,1.1900
603105,0.1500
603160,1.6500
603396,1.1200
603501,0.3200
603806,1.4400
603986,1.4400
